127.0.0.1 - - [15/Apr/2020:12:38:39 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [15/Apr/2020:12:38:41 +0900] "GET /Ex0414/ex02.html HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [15/Apr/2020:12:38:42 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [15/Apr/2020:12:47:17 +0900] "GET /Ex0414/ex03.html HTTP/1.1" 200 1558
0:0:0:0:0:0:0:1 - - [15/Apr/2020:12:47:27 +0900] "GET /Ex0414/ex04.html HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [15/Apr/2020:12:49:53 +0900] "GET /Ex0414/ex05.html HTTP/1.1" 200 1549
0:0:0:0:0:0:0:1 - - [15/Apr/2020:12:50:36 +0900] "GET /Ex0414/list.jsp HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [15/Apr/2020:12:50:43 +0900] "GET /Ex0414/delete.jsp?anum=1&textName=&textAddr= HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [15/Apr/2020:12:54:16 +0900] "GET /Ex0414/list.jsp HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [15/Apr/2020:14:11:32 +0900] "GET /Ex0414/update.jsp?anum=1&textName=%ED%99%8D%EA%B8%B8%EB%8F%99&textAddr=%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [15/Apr/2020:14:15:25 +0900] "GET /Ex0414/ex05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2020:14:18:28 +0900] "GET /Ex0414/update.jsp?anum=1&textName=%ED%99%8D%EA%B8%B8%EB%8F%99&textAddr=%EC%84%9C%EC%9A%B8 HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [15/Apr/2020:14:18:30 +0900] "GET /Ex0414/list.jsp HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [15/Apr/2020:14:18:52 +0900] "GET /Ex0414/delete.jsp?anum=1&textName=%ED%99%8D%EA%B8%B8%EB%8F%99&textAddr=%EC%84%9C%EC%9A%B8 HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [15/Apr/2020:14:22:09 +0900] "GET /Ex0414/ex06.html HTTP/1.1" 200 2013
0:0:0:0:0:0:0:1 - - [15/Apr/2020:16:23:50 +0900] "GET /Ex0414/ex06.html HTTP/1.1" 200 2004
0:0:0:0:0:0:0:1 - - [15/Apr/2020:16:23:51 +0900] "GET /Ex0414/ex06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2020:16:25:49 +0900] "GET /Ex0414/ex06.html HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [15/Apr/2020:16:25:59 +0900] "GET /Ex0414/ex06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2020:16:25:59 +0900] "GET /Ex0414/ex06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2020:16:26:00 +0900] "GET /Ex0414/ex06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2020:16:31:28 +0900] "GET /Ex0414/ex06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2020:16:39:56 +0900] "GET /Ex0414/ex06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2020:16:40:18 +0900] "GET /Ex0414/ex06.html HTTP/1.1" 200 2013
