127.0.0.1 - - [14/Apr/2020:08:40:34 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:40:35 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:40:44 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:43:17 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:43:19 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:43:36 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:45:58 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:46:02 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:49:59 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:50:05 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:50:14 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:50:26 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:50:29 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:50:56 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:51:15 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:51:18 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:51:20 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:51:21 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:51:21 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:51:22 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:51:22 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:51:22 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:51:22 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:51:22 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:51:30 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:51:31 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:51:32 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:51:32 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:51:33 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:51:35 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:51:37 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:08:51:38 +0900] "GET /Ex0414/ex01.html HTTP/1.1" 304 -
