127.0.0.1 - - [08/Apr/2020:09:13:03 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [08/Apr/2020:09:13:05 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [08/Apr/2020:09:13:06 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [08/Apr/2020:09:13:25 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [08/Apr/2020:09:16:06 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 317
192.168.1.170 - - [08/Apr/2020:09:17:02 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 317
192.168.1.170 - - [08/Apr/2020:09:17:03 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
192.168.1.170 - - [08/Apr/2020:09:35:41 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 374
192.168.1.170 - - [08/Apr/2020:09:40:54 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 478
192.168.1.170 - - [08/Apr/2020:09:41:12 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 519
192.168.1.170 - - [08/Apr/2020:09:41:29 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 528
192.168.1.170 - - [08/Apr/2020:09:42:12 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 522
192.168.1.170 - - [08/Apr/2020:09:45:42 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 604
192.168.1.170 - - [08/Apr/2020:09:45:43 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:04 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 619
192.168.1.170 - - [08/Apr/2020:09:46:05 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:05 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:05 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:05 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:05 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:06 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:06 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:06 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:06 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:06 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:07 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:07 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:07 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:10 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:11 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:11 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:11 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:11 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:12 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:12 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:13 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:14 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:15 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:15 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:15 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:41 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:42 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:42 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:42 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:46:42 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:47:03 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 619
192.168.1.170 - - [08/Apr/2020:09:47:03 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:47:12 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 617
192.168.1.170 - - [08/Apr/2020:09:47:18 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:47:18 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:47:19 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:47:19 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:47:19 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:47:19 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:47:23 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 619
192.168.1.170 - - [08/Apr/2020:09:48:09 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:49:22 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:49:23 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:49:23 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:49:23 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:49:23 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:09:49:41 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 685
192.168.1.170 - - [08/Apr/2020:09:56:56 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 728
192.168.1.170 - - [08/Apr/2020:09:57:20 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 746
192.168.1.170 - - [08/Apr/2020:09:57:57 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 818
192.168.1.170 - - [08/Apr/2020:10:01:14 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 830
192.168.1.170 - - [08/Apr/2020:10:01:28 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:10:01:29 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:10:01:37 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 842
192.168.1.170 - - [08/Apr/2020:10:02:15 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 843
192.168.1.170 - - [08/Apr/2020:10:04:54 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 843
192.168.1.170 - - [08/Apr/2020:10:04:54 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:10:04:59 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:10:05:00 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:10:05:00 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:10:05:00 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:10:05:07 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:10:05:08 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:10:05:08 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:10:05:08 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 304 -
192.168.1.170 - - [08/Apr/2020:10:05:18 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 842
192.168.1.170 - - [08/Apr/2020:10:06:34 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 856
192.168.1.170 - - [08/Apr/2020:10:07:03 +0900] "GET /Ex0408/Ex01.html HTTP/1.1" 200 895
