127.0.0.1 - - [12/Apr/2020:15:03:54 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:04:01 +0900] "GET /Ex0410/read.jsp HTTP/1.1" 500 2810
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:04:01 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:04:18 +0900] "GET /Ex0410/read.jsp HTTP/1.1" 500 2810
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:04:29 +0900] "GET /Ex0410/list.jsp HTTP/1.1" 500 5746
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:04:40 +0900] "GET /Ex0410/list.jsp HTTP/1.1" 500 5746
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:04:50 +0900] "GET /Ex0410/list.jsp HTTP/1.1" 500 5746
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:05:03 +0900] "GET /Ex0410/insert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:05:07 +0900] "GET /Ex0410/list.jsp HTTP/1.1" 500 5746
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:05:41 +0900] "GET /Ex0410/list.jsp HTTP/1.1" 500 5734
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:05:57 +0900] "GET /Ex0410/list.jsp HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:05:58 +0900] "GET /Ex0410/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:05:59 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:06:06 +0900] "GET /Ex0410/read.jsp?bnum=13 HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:09:47 +0900] "GET /Ex0410/read.jsp?bnum=13 HTTP/1.1" 200 1601
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:09:48 +0900] "GET /Ex0410/read.jsp?bnum=13 HTTP/1.1" 200 1601
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:09:49 +0900] "GET /Ex0410/list.jsp HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:09:50 +0900] "GET /Ex0410/list.jsp HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:09:51 +0900] "GET /Ex0410/read.jsp?bnum=13 HTTP/1.1" 200 1601
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:09:56 +0900] "GET /Ex0410/sqlUpdate.jsp?title=%EC%88%98%EC%A0%95%EB%90%98%EC%96%B4%EB%9D%BC%21%21%21%21%21%21%21%21%21%21%2111111&content=%EC%96%8D%21%21%21 HTTP/1.1" 200 104
