127.0.0.1 - - [17/Apr/2020:08:43:36 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/Apr/2020:08:43:39 +0900] "GET /Ex0417/ex01.html HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [17/Apr/2020:08:43:40 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [17/Apr/2020:08:45:06 +0900] "GET /Ex0417/ex01.html HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [17/Apr/2020:08:45:10 +0900] "GET /Ex0417/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:08:45:11 +0900] "GET /Ex0417/ex01.html HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [17/Apr/2020:08:45:12 +0900] "GET /Ex0417/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:08:45:12 +0900] "GET /Ex0417/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:08:45:12 +0900] "GET /Ex0417/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:08:45:12 +0900] "GET /Ex0417/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:08:45:13 +0900] "GET /Ex0417/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:08:45:53 +0900] "GET /Ex0417/ex01.html HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [17/Apr/2020:08:46:02 +0900] "GET /Ex0417/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:08:46:03 +0900] "GET /Ex0417/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:08:46:03 +0900] "GET /Ex0417/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:08:46:03 +0900] "GET /Ex0417/ex01.html HTTP/1.1" 304 -
